replicate,condition,arm,family,branch,nll,parent_nll,utility
1,WEAK_ARITHMETIC,geometry-shadow,STORY,0,5.475123733282089,5.474239647388458,-0.0008840858936309
1,WEAK_ARITHMETIC,geometry-shadow,STORY,1,5.494447410106659,5.474239647388458,-0.0202077627182006
1,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,0,7.496348470449448,7.477938115596771,-0.0184103548526763
1,WEAK_ARITHMETIC,geometry-shadow,ARITHMETIC,1,7.219581723213196,7.477938115596771,0.2583563923835754
2,STORY_ONLY,parent,STORY,0,5.493823409080505,5.493913292884827,8.988380432128906e-05
2,STORY_ONLY,parent,ARITHMETIC,0,7.743358433246611,7.754682242870331,0.0113238096237182
2,STORY_ONLY,capacity-shadow,STORY,0,5.493979543447495,5.493913292884827,-6.625056266784668e-05
2,STORY_ONLY,capacity-shadow,STORY,1,5.493674695491791,5.493913292884827,0.0002385973930358
2,STORY_ONLY,capacity-shadow,ARITHMETIC,0,7.742312431335449,7.754682242870331,0.0123698115348815
2,STORY_ONLY,capacity-shadow,ARITHMETIC,1,7.743930369615555,7.754682242870331,0.010751873254776
2,STORY_ONLY,geometry-shadow,STORY,0,5.493846744298935,5.493913292884827,6.654858589172363e-05
2,STORY_ONLY,geometry-shadow,STORY,1,5.494615823030472,5.493913292884827,-0.0007025301456451
2,STORY_ONLY,geometry-shadow,ARITHMETIC,0,7.764018386602402,7.754682242870331,-0.0093361437320709
2,STORY_ONLY,geometry-shadow,ARITHMETIC,1,7.726411432027817,7.754682242870331,0.028270810842514
2,DUPLICATED_STORY,parent,STORY,0,5.494030147790909,5.493913292884827,-0.0001168549060821
2,DUPLICATED_STORY,parent,ARITHMETIC,0,7.74617213010788,7.754682242870331,0.0085101127624511
2,DUPLICATED_STORY,capacity-shadow,STORY,0,5.494054943323135,5.493913292884827,-0.0001416504383087
2,DUPLICATED_STORY,capacity-shadow,STORY,1,5.4940822422504425,5.493913292884827,-0.0001689493656158
2,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,0,7.744325637817383,7.754682242870331,0.0103566050529479
2,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,1,7.755049824714661,7.754682242870331,-0.0003675818443298
2,DUPLICATED_STORY,geometry-shadow,STORY,0,5.49395015835762,5.493913292884827,-3.68654727935791e-05
2,DUPLICATED_STORY,geometry-shadow,STORY,1,5.495178997516632,5.493913292884827,-0.0012657046318054
