run,topology,variant,random_depth,step_embedding_init_scale,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
2d-E,2d,E,False,0.25,0.0,500,500000,4.354881286621094,4.354881286621094,,0.0002683710764094,2.7079286575317383,21.983826326001008,22743.993360638648,43.967652652002016,12.0,1.0,4.438976943492889,84.68825646760153,49152,1173632,486587904
2d-E,2d,E,False,0.25,0.0,1000,1000000,3.953454971313477,3.953454971313477,,0.0001623869018208,2.3750433921813965,42.77412542900015,23378.619433374,42.77412542900015,12.0,1.0,4.018577267726262,55.621914413300885,49152,1173632,486587904
2d-E,2d,E,False,0.25,0.0,2000,2000000,4.115444660186768,4.115444660186768,,0.0,2.258941411972046,84.40477392699847,23695.342182064207,42.20238696349924,12.0,1.0,3.8576144725084314,47.352256417456815,49152,1173632,486587904
2d-F,2d,F,False,1.0,0.1,250,250000,5.228210926055908,5.220992088317871,0.0721884071826934,0.0002954100398908,1.6395164728164673,12.039633683000602,20764.751368888265,48.15853473200241,12.0,1.0,5.0907036165396375,162.50416245340978,49152,1173632,491099648
2d-F,2d,F,False,1.0,0.1,500,500000,4.329537391662598,4.321933269500732,0.0760424435138702,0.0002683710764094,2.6225733757019043,22.72694171400008,22000.32042551479,45.45388342800016,12.0,1.0,4.40822450319926,82.12352393091227,49152,1173632,491099648
2d-F,2d,F,False,1.0,0.1,1000,1000000,3.936163902282715,3.9284262657165527,0.0773772150278091,0.0001623869018208,2.128471612930298,44.24478962699868,22601.531353870163,44.24478962699868,12.0,1.0,3.996794874469439,54.42343624792544,49152,1173632,491099648
2d-F,2d,F,False,1.0,0.1,2000,2000000,4.093432903289795,4.085921764373779,0.0751113444566726,0.0,2.305974245071411,86.56308416999764,23104.53721903304,43.28154208499882,12.0,1.0,3.837047889828682,46.38832864781543,49152,1173632,491099648
2d-G,2d,G,False,0.25,0.1,250,250000,5.222028255462647,5.213778495788574,0.0824982970952987,0.0002954100398908,1.6845632791519165,11.689333664999708,21387.0188981389,46.75733465999883,12.0,1.0,5.08448604742686,161.49691614885353,49152,1173632,491099648
2d-G,2d,G,False,0.25,0.1,500,500000,4.316022872924805,4.30769681930542,0.0832587033510208,0.0002683710764094,2.825368642807007,22.8377827180002,21893.543965015127,45.6755654360004,12.0,1.0,4.399023681879044,81.37138551265741,49152,1173632,491099648
2d-G,2d,G,False,0.25,0.1,1000,1000000,3.9314095973968506,3.923172473907471,0.0823715180158615,0.0001623869018208,2.1421024799346924,44.36762580100003,22538.95677188705,44.36762580100003,12.0,1.0,3.987312987446785,53.90983816151764,49152,1173632,491099648
2d-G,2d,G,False,0.25,0.1,2000,2000000,4.083661079406738,4.0757341384887695,0.07926756888628,0.0,2.318812608718872,87.04221159000087,22977.357347268437,43.52110579500044,12.0,1.0,3.828096469243368,45.97494017520731,49152,1173632,491099648
2d-H,2d,H,True,1.0,0.1,250,250000,5.308629035949707,5.297604084014893,0.110248327255249,0.0002954100398908,2.0013225078582764,8.97640885899989,27850.781300959352,35.90563543599956,8.932,0.7443333333333334,5.179679830869039,177.62593154818907,49152,1173632,492533248
2d-H,2d,H,True,1.0,0.1,500,500000,4.3568525314331055,4.344772338867188,0.1207999438047409,0.0002683710764094,2.112876892089844,17.713620570999524,28226.86632559989,35.42724114199905,8.914,0.7428333333333333,4.441197524468104,84.87652255141826,49152,1173632,492533248
2d-H,2d,H,True,1.0,0.1,1000,1000000,3.9595813751220703,3.948245048522949,0.11336400359869,0.0001623869018208,1.7615582942962646,34.26386457499973,29185.265947193813,34.26386457499973,8.921,0.7434166666666666,4.018554255366325,55.62063443651374,49152,1173632,492533248
2d-H,2d,H,True,1.0,0.1,2000,2000000,4.105835914611816,4.090764999389648,0.1507109850645065,0.0,2.1769533157348637,66.75763576300085,29959.11968932342,33.378817881500424,8.952,0.746,3.84602356950442,46.80656961704887,49152,1173632,492533248
