seed,parent_id,child_id,root_id,transition,candidate,family,rank,offline_oracle_auc,current_cosine_auc,auc,normalized_oracle_excess_recovery,old_fpr,current_tpr,historical_address_state_bytes
73612,6,11,6,A->B,rank-0,low_rank_gaussian,0,0.8675638431385558,0.5123588097726028,0.5699689837620872,0.1903587228946016,0.41582491993904114,0.5188834071159363,3080
73612,6,11,6,A->B,rank-8,low_rank_gaussian,8,0.8675638431385558,0.5123588097726028,0.8173525070076795,0.8633942454673137,0.19696968793869019,0.6724138259887695,15400
73612,6,11,6,A->B,rank-16,low_rank_gaussian,16,0.8675638431385558,0.5123588097726028,0.8226580252442321,0.8778285222211148,0.1986531913280487,0.6912972331047058,27720
73612,6,11,6,A->B,rank-32,low_rank_gaussian,32,0.8675638431385558,0.5123588097726028,0.8270803270803271,0.8898599064789727,0.19276094436645508,0.69786536693573,52360
73612,6,11,6,A->B,rank-64,low_rank_gaussian,64,0.8675638431385558,0.5123588097726028,0.8440086414224345,0.9359153459845558,0.14057238399982452,0.6633825898170471,101640
73612,6,11,6,A->B,rank-128,low_rank_gaussian,128,0.8675638431385558,0.5123588097726028,0.851607896148126,0.9565899984770398,0.08501683175563812,0.5845648646354675,200200
73612,6,11,6,A->B,full-covariance,full_covariance_gaussian,,0.8675638431385558,0.5123588097726028,0.8561366262515688,0.9689109331608565,0.12205386906862259,0.6691297292709351,591368
73612,8,12,4,B->C,rank-0,low_rank_gaussian,0,0.9886329139541944,0.832412853227953,0.8406720244467207,0.6971941813945348,0.3762606680393219,0.8642258048057556,3080
73612,8,12,4,B->C,rank-8,low_rank_gaussian,8,0.9886329139541944,0.832412853227953,0.9636465096021668,0.9488646719480508,0.2986811399459839,0.964149534702301,15400
73612,8,12,4,B->C,rank-16,low_rank_gaussian,16,0.9886329139541944,0.832412853227953,0.9786736210107351,0.9796180472926699,0.20403413474559784,0.9694889783859253,27720
73612,8,12,4,B->C,rank-32,low_rank_gaussian,32,0.9886329139541944,0.832412853227953,0.9780972483828724,0.9784384856802552,0.17998448014259338,0.9672006368637085,52360
73612,8,12,4,B->C,rank-64,low_rank_gaussian,64,0.9886329139541944,0.832412853227953,0.9784055544805279,0.9790694421484976,0.1691233515739441,0.9626239538192749,101640
73612,8,12,4,B->C,rank-128,low_rank_gaussian,128,0.9886329139541944,0.832412853227953,0.9772936405505956,0.9767938812966216,0.15515904128551483,0.9595728516578674,200200
73612,8,12,4,B->C,full-covariance,full_covariance_gaussian,,0.9886329139541944,0.832412853227953,0.981316413778738,0.9850265916058568,0.19937936961650848,0.970251739025116,591368
73612,0,13,0,A+B->C,rank-0,low_rank_gaussian,0,0.9486284431528387,0.574852559517588,0.6318423280054597,0.2938786651129556,0.3304808437824249,0.5079631209373474,3080
73612,0,13,0,A+B->C,rank-8,low_rank_gaussian,8,0.9486284431528387,0.574852559517588,0.9460579268771719,0.9942702779663236,0.22167888283729553,0.9337803721427917,15400
73612,0,13,0,A+B->C,rank-16,low_rank_gaussian,16,0.9486284431528387,0.574852559517588,0.9486272476433092,0.9999973351900716,0.17929910123348236,0.9279128313064575,27720
73612,0,13,0,A+B->C,rank-32,low_rank_gaussian,32,0.9486284431528387,0.574852559517588,0.9550859024833124,1.0143937804859016,0.13447432219982147,0.915339469909668,52360
73612,0,13,0,A+B->C,rank-64,low_rank_gaussian,64,0.9486284431528387,0.574852559517588,0.9621207929165719,1.030074664167329,0.1026894822716713,0.9195305705070496,101640
73612,0,13,0,A+B->C,rank-128,low_rank_gaussian,128,0.9486284431528387,0.574852559517588,0.9623540880619151,1.0305946827905434,0.08190708607435226,0.9002514481544495,200200
73612,0,13,0,A+B->C,full-covariance,full_covariance_gaussian,,0.9486284431528387,0.574852559517588,0.964966959532344,1.0364188152331195,0.10024449974298477,0.9270746111869812,591368
73612,1,14,1,A+B->C,rank-0,low_rank_gaussian,0,0.962225467477425,0.6278822567457073,0.6414118764438509,0.305937007788861,0.34546196460723877,0.534497857093811,3080
73612,1,14,1,A+B->C,rank-8,low_rank_gaussian,8,0.962225467477425,0.6278822567457073,0.957960595143305,0.9907731775200632,0.21013899147510529,0.9458515644073486,15400
73612,1,14,1,A+B->C,rank-16,low_rank_gaussian,16,0.962225467477425,0.6278822567457073,0.9453471847807846,0.9634847409236171,0.17865903675556183,0.9231441020965576,27720
73612,1,14,1,A+B->C,rank-32,low_rank_gaussian,32,0.962225467477425,0.6278822567457073,0.9627314178393027,1.001094596463148,0.13041700422763824,0.9301310181617737,52360
73612,1,14,1,A+B->C,rank-64,low_rank_gaussian,64,0.962225467477425,0.6278822567457073,0.9669000631991631,1.0101132370469534,0.09648405015468597,0.9257642030715942,101640
73612,1,14,1,A+B->C,rank-128,low_rank_gaussian,128,0.962225467477425,0.6278822567457073,0.9668454334141473,1.0099950484380178,0.0748160257935524,0.9082969427108765,200200
73612,1,14,1,A+B->C,full-covariance,full_covariance_gaussian,,0.962225467477425,0.6278822567457073,0.9688313867753073,1.0142915519863798,0.08994276076555252,0.9301310181617737,591368
73612,3,15,3,A+B->C,rank-0,low_rank_gaussian,0,0.9225345468428421,0.511706870751583,0.6126086337799571,0.26650751902149405,0.5790309906005859,0.7016574144363403,3080
73612,3,15,3,A+B->C,rank-8,low_rank_gaussian,8,0.9225345468428421,0.511706870751583,0.9123319205117001,0.9758537463803243,0.23629865050315857,0.8752959370613098,15400
73612,3,15,3,A+B->C,rank-16,low_rank_gaussian,16,0.9225345468428421,0.511706870751583,0.9076721794084956,0.9648256750947412,0.22954726219177246,0.8792423009872437,27720
73612,3,15,3,A+B->C,rank-32,low_rank_gaussian,32,0.9225345468428421,0.511706870751583,0.9258234163117895,1.0077836699827782,0.15647339820861816,0.8697710633277893,52360
73612,3,15,3,A+B->C,rank-64,low_rank_gaussian,64,0.9225345468428421,0.511706870751583,0.9356406564135227,1.031017841425296,0.11874503642320633,0.8650354743003845,101640
73612,3,15,3,A+B->C,rank-128,low_rank_gaussian,128,0.9225345468428421,0.511706870751583,0.9370413057556234,1.0343327167474827,0.09054805338382721,0.8429360389709473,200200
73612,3,15,3,A+B->C,full-covariance,full_covariance_gaussian,,0.9225345468428421,0.511706870751583,0.9392989261845102,1.0396757601643007,0.11874503642320633,0.8721389174461365,591368
73613,4,8,4,A->B,rank-0,low_rank_gaussian,0,0.9285306065707974,0.5401493287454271,0.5970396241592238,0.22644735911807493,0.6162246465682983,0.7220106720924377,3080
