arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_with_decay_grad_projection,17,7,53,3.9436996303265914e-05,1.6913092622417025e-05,0.4288635996386163,True
sgd_with_decay_grad_projection,18,0,58,4.682013968704268e-05,1.6586031051701866e-05,0.35424991912277604,True
sgd_with_decay_grad_projection,18,1,60,5.428347867564298e-05,1.7188051060657017e-05,0.31663502714564007,True
sgd_with_decay_grad_projection,18,2,60,4.9039612349588424e-05,1.553377296659164e-05,0.3167596949807927,True
sgd_with_decay_grad_projection,18,3,49,4.4783195335185155e-05,1.533588692836929e-05,0.34244735042103785,True
sgd_with_decay_grad_projection,18,4,60,6.076357385609299e-05,1.931631595653016e-05,0.3178930140676745,True
sgd_with_decay_grad_projection,18,5,53,8.646682545077056e-05,1.4823866877122782e-05,0.1714399323486525,True
sgd_with_decay_grad_projection,18,6,60,5.09802412125282e-05,1.528276698081754e-05,0.2997782340285127,True
sgd_with_decay_grad_projection,18,7,53,4.2115698306588456e-05,1.790901842468884e-05,0.42523378976369514,True
sgd_with_decay_grad_projection,19,0,58,5.2753959607798606e-05,1.7506843505543657e-05,0.3318583724111062,True
sgd_with_decay_grad_projection,19,1,60,5.92849864915479e-05,1.8143498891731724e-05,0.306038672848137,True
sgd_with_decay_grad_projection,19,2,60,5.170085933059454e-05,1.639699075894896e-05,0.31715121671284574,True
sgd_with_decay_grad_projection,19,3,49,4.604058631230146e-05,1.6187574146897532e-05,0.3515935632422399,True
sgd_with_decay_grad_projection,19,4,60,5.692361082765274e-05,2.0389130440889858e-05,0.3581840608185914,True
sgd_with_decay_grad_projection,19,5,53,9.184435475617647e-05,1.5648109183530323e-05,0.17037638355341175,True
sgd_with_decay_grad_projection,19,6,60,5.7033132179640234e-05,1.613291351532098e-05,0.2828691431786905,True
sgd_with_decay_grad_projection,19,7,53,4.5522967411670834e-05,1.8904796888818964e-05,0.4152804078560987,True
sgd_with_decay_grad_projection,20,0,58,5.499532926478423e-05,1.842799611040391e-05,0.33508292470795675,True
sgd_with_decay_grad_projection,20,1,60,6.205322279129177e-05,1.9098742995993234e-05,0.30778002864491716,True
sgd_with_decay_grad_projection,20,2,60,5.5802349379519e-05,1.7259395463042893e-05,0.3092951344461212,True
sgd_with_decay_grad_projection,20,3,49,5.1063332648482174e-05,1.7039770682458766e-05,0.33369875143209066,True
sgd_with_decay_grad_projection,20,4,60,6.162632053019479e-05,2.146079896192532e-05,0.34824079109460176,True
sgd_with_decay_grad_projection,20,5,53,9.19962621992454e-05,1.6471616618218832e-05,0.17904658347420727,True
sgd_with_decay_grad_projection,20,6,60,5.857554788235575e-05,1.6983032764983363e-05,0.28993382203028795,True
sgd_with_decay_grad_projection,20,7,53,4.653999349102378e-05,1.989900556509383e-05,0.4275678539010522,True
sgd_with_decay_grad_projection,21,0,58,5.766261165263131e-05,1.9348844944033772e-05,0.3355526927056578,True
sgd_with_decay_grad_projection,21,1,60,6.435949762817472e-05,2.005209171329625e-05,0.31156382726260123,True
sgd_with_decay_grad_projection,21,2,60,5.941316703683697e-05,1.812262235034723e-05,0.30502703271286524,True
sgd_with_decay_grad_projection,21,3,49,5.4431657190434635e-05,1.789297311916016e-05,0.3287236456504741,True
sgd_with_decay_grad_projection,21,4,60,5.941400013398379e-05,2.2533769879373722e-05,0.37926699850693596,True
sgd_with_decay_grad_projection,21,5,53,7.629297761013731e-05,1.7294547433266416e-05,0.22668596440103375,True
sgd_with_decay_grad_projection,21,6,60,6.44745014142245e-05,1.7830796423368156e-05,0.2765557818315832,True
sgd_with_decay_grad_projection,21,7,53,4.938478741678409e-05,2.0892655811621808e-05,0.4230585263481893,True
sgd_with_decay_grad_projection,22,0,58,6.12428630120121e-05,2.0272635083529167e-05,0.33102036311614885,True
sgd_with_decay_grad_projection,22,1,60,7.011721027083695e-05,2.100677738781087e-05,0.29959516368483957,True
sgd_with_decay_grad_projection,22,2,60,6.141196354292333e-05,1.898527261801064e-05,0.309146153511195,True
sgd_with_decay_grad_projection,22,3,49,5.6099572248058394e-05,1.874475674412679e-05,0.33413367800931615,True
sgd_with_decay_grad_projection,22,4,60,6.457485869759694e-05,2.360730286454782e-05,0.3655803973109729,True
sgd_with_decay_grad_projection,22,5,53,8.458902448182926e-05,1.8116956198355183e-05,0.21417620187913058,True
