replicate,input_family,candidate_family,candidate_kind,matching_family,full_value,best_value,best_recruitment,min_small_value,first_positive_recruitment,full_beneficial,activation_barrier,nonmonotonic
2,DELAY_COPY,MOD_ADD,trained,0,0.8221555612981319,0.8221555612981319,1.0,0.0002097189426421751,0.0001,1,0,0
2,DELAY_COPY,PARITY,trained,0,0.07223811373114586,0.5605002604424953,0.5,0.00015339814126489554,0.0001,1,0,1
2,DELAY_COPY,RANDOM,untrained-control,0,-0.0049726348370313506,0.0,0.0,-0.00010213255882261735,,0,0,0
2,DELAY_COPY,REVERSE_INC,trained,0,0.8208308033645153,0.8208308033645153,1.0,0.00021173991262908847,0.0001,1,0,0
2,LOCAL_RULE,DELAY_COPY,trained,0,0.8482160978019238,0.8482160978019238,1.0,0.00018815882503982241,0.0001,1,0,0
2,LOCAL_RULE,LOCAL_RULE,trained,1,0.8348961733281612,0.8348961733281612,1.0,0.0002028644084930001,0.0001,1,0,0
2,LOCAL_RULE,LOOKUP,trained,0,0.38896817341446877,0.38896817341446877,1.0,4.63705509901027e-05,0.0001,1,0,0
2,LOCAL_RULE,MOD_ADD,trained,0,0.8285956662148237,0.8285956662148237,1.0,0.00020522624254222228,0.0001,1,0,0
2,LOCAL_RULE,PARITY,trained,0,0.07695378921926022,0.5489247348159552,0.5,0.00014077872037885706,0.0001,1,0,1
2,LOCAL_RULE,RANDOM,untrained-control,0,-0.005430787801742531,0.0,0.0,-0.00010901689529416884,,0,0,0
2,LOCAL_RULE,REVERSE_INC,trained,0,0.82704390399158,0.82704390399158,1.0,0.0002066567540168339,0.0001,1,0,0
2,LOOKUP,DELAY_COPY,trained,0,2.1137946974486113,2.1137946974486113,1.0,0.0002753902226686123,0.0001,1,0,0
2,LOOKUP,LOCAL_RULE,trained,0,2.1072933599352837,2.1072933599352837,1.0,0.0002857111394404945,0.0001,1,0,0
2,LOOKUP,LOOKUP,trained,1,2.3291209395974874,2.3291209395974874,1.0,0.00012047216296194294,0.0001,1,0,0
2,LOOKUP,MOD_ADD,trained,0,2.0949165672063828,2.0949165672063828,1.0,0.0002833418548106712,0.0001,1,0,0
2,LOOKUP,PARITY,trained,0,2.2101901937276125,2.2101901937276125,1.0,0.0003426112234592221,0.0001,1,0,0
2,LOOKUP,RANDOM,untrained-control,0,-0.0171076841652393,0.0,0.0,-0.0003517344594001564,,0,0,0
2,LOOKUP,REVERSE_INC,trained,0,2.0867986902594566,2.0867986902594566,1.0,0.00028744712471957736,0.0001,1,0,0
2,MOD_ADD,DELAY_COPY,trained,0,0.9026106894016266,0.9026106894016266,1.0,0.0001746863126754358,0.0001,1,0,0
2,MOD_ADD,LOCAL_RULE,trained,0,0.8927919398993254,0.8927919398993254,1.0,0.00018551386892791464,0.0001,1,0,0
2,MOD_ADD,LOOKUP,trained,0,0.43797835521399975,0.43797835521399975,1.0,1.947954297065674e-05,0.0001,1,0,0
2,MOD_ADD,MOD_ADD,trained,1,0.8872515745460987,0.8872515745460987,1.0,0.00018737651407714276,0.0001,1,0,0
2,MOD_ADD,PARITY,trained,0,0.12867072969675064,0.6024186201393604,0.5,0.00012563541531560146,0.0001,1,0,1
2,MOD_ADD,RANDOM,untrained-control,0,-0.006191493943333602,0.0,0.0,-0.00012501515448091316,,0,0,0
2,MOD_ADD,REVERSE_INC,trained,0,0.8854857534170151,0.8854857534170151,1.0,0.0001891367137431653,0.0001,1,0,0
2,PARITY,DELAY_COPY,trained,0,4.239927988499403,4.239927988499403,1.0,0.00026902556419368124,0.0001,1,0,0
