replicate,input_family,candidate_family,candidate_kind,matching_family,recruitment,mean_value,median_value,positive_fraction,mean_loss
1,MOD_ADD,RANDOM,untrained-control,0,0.05,-0.0001878105103969421,-0.00044441223144530003,0.32421875,8.426429269835353
1,MOD_ADD,RANDOM,untrained-control,0,0.1,-0.00044107809662817196,-0.0008850097656249499,0.3203125,8.426682537421584
1,MOD_ADD,RANDOM,untrained-control,0,0.25,-0.0013200547546148068,-0.0020115375518798,0.25,8.42756151407957
1,MOD_ADD,RANDOM,untrained-control,0,0.5,-0.0025691445916890786,-0.00326395034790035,0.19140625,8.428810603916645
1,MOD_ADD,RANDOM,untrained-control,0,1.0,-0.004988413304090461,-0.0043714046478271,0.0859375,8.431229872629046
1,MOD_ADD,REVERSE_INC,trained,0,0.0,0.0,0.0,0.0,8.426241459324956
1,MOD_ADD,REVERSE_INC,trained,0,0.0001,0.0005539897829294045,0.00056362152099605,0.68359375,8.425687469542027
1,MOD_ADD,REVERSE_INC,trained,0,0.0003,0.0015386082231998285,0.0016102790832519,0.7109375,8.424702851101756
1,MOD_ADD,REVERSE_INC,trained,0,0.001,0.00501237623393533,0.00523138046264645,0.79296875,8.42122908309102
1,MOD_ADD,REVERSE_INC,trained,0,0.003,0.015242444351315462,0.0158166885375976,0.91015625,8.41099901497364
1,MOD_ADD,REVERSE_INC,trained,0,0.01,0.051251225173473317,0.053254842758178655,0.9921875,8.374990234151483
1,MOD_ADD,REVERSE_INC,trained,0,0.02,0.10208999179303642,0.10285377502441401,1.0,8.32415146753192
1,MOD_ADD,REVERSE_INC,trained,0,0.05,0.24611074477434156,0.22501373291015625,1.0,8.180130714550614
1,MOD_ADD,REVERSE_INC,trained,0,0.1,0.382049024105072,0.33472442626953125,1.0,8.044192435219884
1,MOD_ADD,REVERSE_INC,trained,0,0.25,0.8172560688108206,0.7166564464569092,0.99609375,7.608985390514135
1,MOD_ADD,REVERSE_INC,trained,0,0.5,1.1042566895484924,0.9596705436706542,0.98828125,7.3219847697764635
1,MOD_ADD,REVERSE_INC,trained,0,1.0,1.2588631995022297,1.1160216331481934,0.96875,7.167378259822726
1,PARITY,DELAY_COPY,trained,0,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,DELAY_COPY,trained,0,0.0001,0.0008925348520278464,0.0009737014770507,1.0,12.059774536639452
1,PARITY,DELAY_COPY,trained,0,0.0003,0.002752713859081221,0.0029253959655761,1.0,12.057914357632399
1,PARITY,DELAY_COPY,trained,0,0.001,0.009548630565404849,0.0098161697387695,1.0,12.051118440926075
1,PARITY,DELAY_COPY,trained,0,0.003,0.029709633439779237,0.02977943420410155,1.0,12.0309574380517
1,PARITY,DELAY_COPY,trained,0,0.01,0.10191233828663822,0.10171222686767575,1.0,11.958754733204842
1,PARITY,DELAY_COPY,trained,0,0.02,0.2073656320571899,0.20646476745605463,1.0,11.85330143943429
1,PARITY,DELAY_COPY,trained,0,0.05,0.535018689930439,0.5327367782592773,1.0,11.52564838156104
1,PARITY,DELAY_COPY,trained,0,0.1,1.10235945135355,1.0929641723632812,1.0,10.95830762013793
1,PARITY,DELAY_COPY,trained,0,0.25,2.656819961965084,2.6409873962402344,1.0,9.403847109526396
1,PARITY,DELAY_COPY,trained,0,0.5,3.970284404233098,3.9497742652893066,1.0,8.090382667258382
1,PARITY,DELAY_COPY,trained,0,1.0,4.854769341647625,4.842209815979004,1.0,7.205897729843855
1,PARITY,LOCAL_RULE,trained,0,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,LOCAL_RULE,trained,0,0.0001,0.00042888149619099377,0.0006904602050781001,0.8125,12.060238189995289
1,PARITY,LOCAL_RULE,trained,0,0.0003,0.0015904568135737996,0.0020713806152343,0.9375,12.059076614677906
1,PARITY,LOCAL_RULE,trained,0,0.001,0.006427764892578081,0.0069589614868164,1.0,12.054239306598902
1,PARITY,LOCAL_RULE,trained,0,0.003,0.02111551538109775,0.0213069915771484,1.0,12.039551556110382
1,PARITY,LOCAL_RULE,trained,0,0.01,0.07419243082404132,0.0739588737487793,1.0,11.986474640667439
1,PARITY,LOCAL_RULE,trained,0,0.02,0.15063610672950742,0.15008068084716797,1.0,11.910030964761972
1,PARITY,LOCAL_RULE,trained,0,0.05,0.377101544290781,0.3762736320495605,1.0,11.683565527200699
1,PARITY,LOCAL_RULE,trained,0,0.1,0.750696200877428,0.7462501525878906,1.0,11.309970870614052
1,PARITY,LOCAL_RULE,trained,0,0.25,1.4075873717665672,1.3998308181762695,1.0,10.653079699724913
1,PARITY,LOCAL_RULE,trained,0,0.5,2.2572880536317825,2.2410240173339844,1.0,9.803379017859697
1,PARITY,LOCAL_RULE,trained,0,1.0,4.736504886299372,4.714301347732544,1.0,7.324162185192108
1,PARITY,LOOKUP,trained,0,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,LOOKUP,trained,0,0.0001,7.168948650358356e-05,0.00023651123046870002,0.6875,12.060595382004976
1,PARITY,LOOKUP,trained,0,0.0003,0.0003799945116042862,0.0007143020629881999,0.76171875,12.060287076979876
1,PARITY,LOOKUP,trained,0,0.001,0.001961134374141651,0.00239515304565425,0.9453125,12.058705937117338
1,PARITY,LOOKUP,trained,0,0.003,0.007278330624103498,0.00741100311279295,1.0,12.053388740867376
1,PARITY,LOOKUP,trained,0,0.01,0.027240302413701963,0.0269374847412109,1.0,12.033426769077778
1,PARITY,LOOKUP,trained,0,0.02,0.05681020021438594,0.05626678466796875,1.0,12.003856871277094
1,PARITY,LOOKUP,trained,0,0.05,0.1500991582870483,0.1494140625,1.0,11.910567913204432
1,PARITY,LOOKUP,trained,0,0.1,0.35958604887127876,0.3556938171386719,1.0,11.701081022620201
1,PARITY,LOOKUP,trained,0,0.25,0.8587971925735474,0.8492512702941895,1.0,11.201869878917933
1,PARITY,LOOKUP,trained,0,0.5,2.0590741261839867,2.037799835205078,1.0,10.001592945307493
1,PARITY,LOOKUP,trained,0,1.0,5.741183917969465,5.700464248657227,1.0,6.319483153522015
1,PARITY,MOD_ADD,trained,0,0.0,0.0,0.0,0.0,12.06066707149148
1,PARITY,MOD_ADD,trained,0,0.0001,0.0009828582406043531,0.00108003616333,1.0,12.059684213250875
1,PARITY,MOD_ADD,trained,0,0.0003,0.003041040152311279,0.0032448768615721997,1.0,12.057626031339169
1,PARITY,MOD_ADD,trained,0,0.001,0.010575670748949006,0.0108833312988281,1.0,12.05009140074253
1,PARITY,MOD_ADD,trained,0,0.003,0.032868225127458524,0.03301668167114255,1.0,12.027798846364021
