run,row,task,baseline_nll,ablated_nll,delta_nll,delta_token_accuracy
r0-A,3,ROTATE_SWAP,1.154459835461208,1.154775481905256,0.0003156464440481,0.0
r0-A,3,INC_SWAP,0.8661323131833758,0.8655802283968245,-0.0005520847865513,-0.0033333333333332
r0-A,4,REVERSE,1.029020392213549,1.0290337371826173,1.3344969068240786e-05,0.0016666666666665
r0-A,4,ROTATE,0.8360345309121268,0.8360381432941981,3.61238207136072e-06,0.0
r0-A,4,INC,1.216770361491612,1.2168224566323416,5.209514072945787e-05,0.0
r0-A,4,SWAP,0.8882117690358843,0.88820823601314,-3.5330227442509354e-06,0.0
r0-A,4,REVERSE_ROTATE,1.1815410120146614,1.181543893132891,2.881118229547397e-06,0.0
r0-A,4,REVERSE_INC,1.1135405690329416,1.1135275254930768,-1.3043539864865394e-05,0.0
r0-A,4,REVERSE_SWAP,1.173553089414324,1.173570990562439,1.790114811495158e-05,0.0
r0-A,4,ROTATE_INC,0.9293774339130948,0.929346936089652,-3.0497823442776628e-05,0.0
r0-A,4,ROTATE_SWAP,1.154459835461208,1.154436539581844,-2.329587936400479e-05,0.0
r0-A,4,INC_SWAP,0.8661323131833758,0.8661549755505153,2.266236713954761e-05,0.0
r0-A,5,REVERSE,1.029020392213549,1.0290292763710025,8.884157453259434e-06,0.0
r0-A,5,ROTATE,0.8360345309121268,0.8360738638469151,3.933293478830535e-05,0.0
r0-A,5,INC,1.216770361491612,1.216770659174238,2.976826258827004e-07,0.0
r0-A,5,SWAP,0.8882117690358843,0.8882000119345529,-1.1757101331388853e-05,0.0
r0-A,5,REVERSE_ROTATE,1.1815410120146614,1.181503094605037,-3.791740962433288e-05,0.0
r0-A,5,REVERSE_INC,1.1135405690329416,1.113501571927752,-3.899710518973088e-05,0.0
r0-A,5,REVERSE_SWAP,1.173553089414324,1.1735527549471174,-3.344672065974663e-07,0.0
r0-A,5,ROTATE_INC,0.9293774339130948,0.9293646696635656,-1.2764249529229056e-05,0.0
r0-A,5,ROTATE_SWAP,1.154459835461208,1.1544329486574445,-2.688680376339292e-05,0.0
r0-A,5,INC_SWAP,0.8661323131833758,0.8661081102916173,-2.420289175852908e-05,0.0
r0-A,6,REVERSE,1.029020392213549,1.0290032182421005,-1.7173971448736225e-05,0.0
r0-A,6,ROTATE,0.8360345309121268,0.8360331463813782,-1.3845307486048952e-06,0.0
r0-A,6,INC,1.216770361491612,1.2167571531023298,-1.320838928231538e-05,0.0
r0-A,6,SWAP,0.8882117690358843,0.8882064110892159,-5.3579466683384425e-06,0.0
r0-A,6,REVERSE_ROTATE,1.1815410120146614,1.1815552241461618,1.4212131500324077e-05,0.0
r0-A,6,REVERSE_INC,1.1135405690329416,1.1134624828611102,-7.808617183147071e-05,0.0
r0-A,6,REVERSE_SWAP,1.173553089414324,1.1735569272722517,3.837857927679877e-06,0.0
r0-A,6,ROTATE_INC,0.9293774339130948,0.9293474067960468,-3.0027117048025964e-05,-0.0016666666666667
r0-A,6,ROTATE_SWAP,1.154459835461208,1.154438798086984,-2.103737422398666e-05,0.0
r0-A,6,INC_SWAP,0.8661323131833758,0.86613002879279,-2.284390585804985e-06,0.0
r0-A,7,REVERSE,1.029020392213549,1.0290105969565255,-9.79525702349271e-06,0.0
r0-A,7,ROTATE,0.8360345309121268,0.8360489501271929,1.4419215066174829e-05,0.0
r0-A,7,INC,1.216770361491612,1.2167940398624966,2.367837088446123e-05,0.0
r0-A,7,SWAP,0.8882117690358843,0.8882078334263392,-3.935609545036023e-06,0.0
r0-A,7,REVERSE_ROTATE,1.1815410120146614,1.1815226496968951,-1.8362317766307257e-05,0.0
r0-A,7,REVERSE_INC,1.1135405690329416,1.1135495226723806,8.953639438979977e-06,0.0
r0-A,7,REVERSE_SWAP,1.173553089414324,1.173567842074803,1.475266047901158e-05,0.0
r0-A,7,ROTATE_INC,0.9293774339130948,0.9293866028104508,9.168897356248706e-06,0.0
r0-A,7,ROTATE_SWAP,1.154459835461208,1.154485550267356,2.571480614799171e-05,0.0
r0-A,7,INC_SWAP,0.8661323131833758,0.8661317719732012,-5.412101745649878e-07,0.0
r0-B,1,REVERSE,1.043998349734715,1.168916130747114,0.1249177810123989,0.0516666666666666
r0-B,1,ROTATE,0.8717199155262538,0.9594105570656912,0.0876906415394374,0.0266666666666666
r0-B,1,INC,1.2164918490818568,1.25333826814379,0.0368464190619333,0.0
r0-B,1,SWAP,0.8791032402856009,0.9937921350342886,0.1146888947486877,0.0716666666666666
r0-B,1,REVERSE_ROTATE,1.2421648338862827,1.357519497190203,0.1153546633039201,0.0433333333333332
r0-B,1,REVERSE_INC,1.1155285501480103,1.2875559408324109,0.1720273906844003,0.0933333333333333
