run,task,row,mean_activity
r1-A,REVERSE,2,1.0
r1-A,REVERSE,3,1.0
r1-A,REVERSE,4,1.0
r1-A,REVERSE,5,1.0
r1-A,REVERSE,6,1.0
r1-A,REVERSE,7,1.0
r1-A,ROTATE,0,1.0
r1-A,ROTATE,1,1.0
r1-A,ROTATE,2,1.0
r1-A,ROTATE,3,1.0
r1-A,ROTATE,4,1.0
r1-A,ROTATE,5,1.0
r1-A,ROTATE,6,1.0
r1-A,ROTATE,7,1.0
r1-A,INC,0,1.0
r1-A,INC,1,1.0
r1-A,INC,2,1.0
r1-A,INC,3,1.0
r1-A,INC,4,1.0
r1-A,INC,5,1.0
r1-A,INC,6,1.0
r1-A,INC,7,1.0
r1-A,SWAP,0,1.0
r1-A,SWAP,1,1.0
r1-A,SWAP,2,1.0
r1-A,SWAP,3,1.0
r1-A,SWAP,4,1.0
r1-A,SWAP,5,1.0
r1-A,SWAP,6,1.0
r1-A,SWAP,7,1.0
r1-A,REVERSE_ROTATE,0,1.0
r1-A,REVERSE_ROTATE,1,1.0
r1-A,REVERSE_ROTATE,2,1.0
r1-A,REVERSE_ROTATE,3,1.0
r1-A,REVERSE_ROTATE,4,1.0
r1-A,REVERSE_ROTATE,5,1.0
r1-A,REVERSE_ROTATE,6,1.0
r1-A,REVERSE_ROTATE,7,1.0
r1-A,REVERSE_INC,0,1.0
r1-A,REVERSE_INC,1,1.0
r1-A,REVERSE_INC,2,1.0
r1-A,REVERSE_INC,3,1.0
r1-A,REVERSE_INC,4,1.0
r1-A,REVERSE_INC,5,1.0
r1-A,REVERSE_INC,6,1.0
r1-A,REVERSE_INC,7,1.0
r1-A,REVERSE_SWAP,0,1.0
r1-A,REVERSE_SWAP,1,1.0
r1-A,REVERSE_SWAP,2,1.0
r1-A,REVERSE_SWAP,3,1.0
r1-A,REVERSE_SWAP,4,1.0
r1-A,REVERSE_SWAP,5,1.0
r1-A,REVERSE_SWAP,6,1.0
r1-A,REVERSE_SWAP,7,1.0
r1-A,ROTATE_INC,0,1.0
