replicate,stage,candidate,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,48,ARITH_A,ARITHMETIC,0,0.7010300755500793,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,49,ARITH_A,ARITHMETIC,0,0.7313323616981506,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,49,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,49,ARITH_A,ARITHMETIC,0,0.7078884840011597,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,50,STORY,STORY,1,0.320576012134552,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,50,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,50,STORY,STORY,1,0.4276233911514282,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,51,STORY,STORY,1,0.0475174784660339,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,51,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,51,STORY,STORY,1,0.2636723518371582,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,52,STORY,STORY,1,0.7722991108894348,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,52,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,52,STORY,STORY,2,0.3255048990249634,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,53,STORY,STORY,1,1.2999763488769531,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,53,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,53,STORY,STORY,2,0.6420765519142151,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,54,STORY,STORY,1,1.1233830451965332,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,54,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,54,STORY,STORY,2,0.8111608028411865,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,55,STORY,STORY,1,0.1651834845542907,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,55,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,55,STORY,STORY,1,0.3313322067260742,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,56,STORY,STORY,1,0.0113144516944885,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,56,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,56,STORY,STORY,1,0.1282441020011901,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,57,STORY,STORY,1,0.0716872811317443,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,57,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,57,STORY,STORY,1,0.0988643765449523,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,58,STORY,STORY,1,0.4914335012435913,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,58,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,58,STORY,STORY,1,0.5412490963935852,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,59,STORY,STORY,1,0.959266185760498,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,59,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,59,STORY,STORY,2,0.1543482542037964,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,60,ARITH_A,ARITHMETIC,0,0.7219753265380859,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,60,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,60,ARITH_A,ARITHMETIC,0,0.6957871317863464,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,61,STORY,STORY,1,0.2160362005233764,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,61,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,61,STORY,STORY,1,0.0765018463134765,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,62,ARITH_A,ARITHMETIC,0,0.7212541699409485,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,62,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,62,ARITH_A,ARITHMETIC,0,0.6944132447242737,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,63,ARITH_A,ARITHMETIC,0,0.7292537689208984,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,63,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,63,ARITH_A,ARITHMETIC,0,0.7066454887390137,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,64,STORY,STORY,1,0.5570402145385742,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,64,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,64,STORY,STORY,2,0.3195364475250244,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,65,ARITH_A,ARITHMETIC,0,0.7230349779129028,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,65,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,65,ARITH_A,ARITHMETIC,0,0.6954895853996277,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,66,STORY,STORY,1,0.6849843263626099,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,66,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,66,STORY,STORY,1,0.0978531837463378,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,67,ARITH_A,ARITHMETIC,0,0.7290964126586914,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,67,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,67,ARITH_A,ARITHMETIC,0,0.7014536261558533,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,68,ARITH_A,ARITHMETIC,0,0.7321040034294128,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,68,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,68,ARITH_A,ARITHMETIC,0,0.7133157253265381,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,69,STORY,STORY,1,0.4214040637016296,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,69,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,69,STORY,STORY,2,0.3273370862007141,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,70,ARITH_A,ARITHMETIC,0,0.7287594676017761,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,70,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,70,ARITH_A,ARITHMETIC,0,0.6966108679771423,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,71,ARITH_A,ARITHMETIC,0,0.7245194911956787,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,71,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,71,ARITH_A,ARITHMETIC,0,0.7007777094841003,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,72,ARITH_A,ARITHMETIC,0,0.7335069179534912,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,72,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,72,ARITH_A,ARITHMETIC,0,0.7130179405212402,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,73,STORY,STORY,1,0.1552175283432006,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,73,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,73,STORY,STORY,2,0.1172727942466735,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,74,STORY,STORY,1,0.5107896327972412,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,74,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,74,STORY,STORY,2,0.1494349241256714,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,75,STATE_MACHINE,SELECTED,0,0.6814157366752625,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,75,STATE_MACHINE,SELECTED,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,75,STATE_MACHINE,SELECTED,0,0.6790130138397217,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,76,STATE_MACHINE,SELECTED,0,0.6875673532485962,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,76,STATE_MACHINE,SELECTED,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,76,STATE_MACHINE,SELECTED,0,0.6878303289413452,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,77,ARITH_A,ARITHMETIC,0,0.7295626997947693,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,77,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,77,ARITH_A,ARITHMETIC,0,0.709185779094696,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,78,STORY,STORY,1,0.4562497735023498,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,78,STORY,STORY,2,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,78,STORY,STORY,2,0.2410734891891479,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,79,STORY,STORY,1,0.2672388553619385,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,79,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,79,STORY,STORY,1,0.1957811117172241,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,80,STATE_MACHINE,SELECTED,0,0.6822026371955872,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,80,STATE_MACHINE,SELECTED,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,80,STATE_MACHINE,SELECTED,0,0.6802982091903687,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,81,ARITH_A,ARITHMETIC,0,0.7264214158058167,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,81,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,81,ARITH_A,ARITHMETIC,0,0.7019882202148438,1
