run,replicate,topology,variant,random_depth,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
1d-r3-F,3,1d,F,False,0.1,250,250000,5.1329264640808105,5.125207901000977,0.0771861225366592,0.0002954100398908,1.362517476081848,8.383835466999017,29819.28748292661,33.53534186799607,12.0,1.0,5.064952582120895,158.37293218707967,49152,1170816,159044608
1d-r3-F,3,1d,F,False,0.1,500,500000,4.5581889152526855,4.550292015075684,0.0789702087640762,0.0002683710764094,1.8257756233215328,16.389488139999457,30507.35909071633,32.778976279998915,12.0,1.0,4.41376053293546,82.57942297240926,49152,1170816,159044608
1d-r3-F,3,1d,F,False,0.1,1000,1000000,4.314662456512451,4.30661153793335,0.0805114656686782,0.0001623869018208,1.7970364093780518,31.78419904899738,31462.1739707342,31.78419904899738,12.0,1.0,4.022767176230748,55.85545405875486,49152,1170816,159044608
1d-r3-F,3,1d,F,False,0.1,2000,2000000,3.99830174446106,3.989957809448242,0.083438865840435,0.0,2.066084384918213,63.60334846199908,31444.885345854625,31.801674230999534,12.0,1.0,3.85602830350399,47.27720727208612,49152,1170816,159044608
1d-r3-H,3,1d,H,True,0.1,250,250000,5.184807300567627,5.174857139587402,0.0995034128427505,0.0002954100398908,1.3772742748260498,6.540505862999453,38223.34315366715,26.16202345199781,8.984,0.7486666666666667,5.124327073494594,168.0610108830195,49152,1170816,158716928
1d-r3-H,3,1d,H,True,0.1,500,500000,4.587403297424316,4.571695327758789,0.1570795327425003,0.0002683710764094,1.4005720615386963,12.477406539996991,40072.42998753173,24.954813079993983,9.038,0.7531666666666667,4.440912793080012,84.85235898156242,49152,1170816,158716928
1d-r3-H,3,1d,H,True,0.1,1000,1000000,4.332864284515381,4.317900657653809,0.1496344208717346,0.0001623869018208,1.7175370454788208,24.702826903000187,40481.19690619493,24.702826903000187,9.03,0.7525,4.035087794065476,56.54788458908163,49152,1170816,158716928
1d-r3-H,3,1d,H,True,0.1,2000,2000000,4.007769584655762,3.996293067932129,0.1147655099630355,0.0,1.9726166725158687,48.855884781999976,40936.72663844299,24.427942390999988,9.034,0.7528333333333334,3.8639916628599167,47.65519569424527,49152,1170816,158716928
1d-r4-A,4,1d,A,False,0.0,250,250000,5.068309307098389,5.068309307098389,,0.0002954100398908,1.2207003831863403,7.83375158699846,31913.189641463818,31.33500634799384,12.0,1.0,5.098752448956172,163.81740918568013,49152,1170816,157502464
1d-r4-A,4,1d,A,False,0.0,500,500000,4.4508490562438965,4.4508490562438965,,0.0002683710764094,1.5023193359375,15.121285320000196,33065.9721987174,30.242570640000395,12.0,1.0,4.445231139659882,85.21957318420804,49152,1170816,157502464
1d-r4-A,4,1d,A,False,0.0,1000,1000000,4.425333023071289,4.425333023071289,,0.0001623869018208,1.875171422958374,29.67808925899999,33694.89158392319,29.67808925899999,12.0,1.0,4.056683128078778,57.78233626832191,49152,1170816,157502464
1d-r4-A,4,1d,A,False,0.0,2000,2000000,3.928244113922119,3.928244113922119,,0.0,1.7617812156677246,60.18873019299917,33228.8119983071,30.094365096499587,12.0,1.0,3.9024034341176352,49.52132743810031,49152,1170816,157502464
1d-r4-B,4,1d,B,True,0.0,250,250000,5.131157398223877,5.131157398223877,0.2321846485137939,0.0002954100398908,1.3637104034423828,7.041755173000411,35502.51235069252,28.167020692001643,9.092,0.7576666666666667,5.163744797309239,174.81788891385543,49152,1170816,158716928
1d-r4-B,4,1d,B,True,0.0,500,500000,4.487986564636231,4.487986564636231,0.1722964644432068,0.0002683710764094,1.6585988998413086,13.181012692999277,37933.352440026174,26.36202538599855,9.036,0.753,4.489234566688538,89.05325545615722,49152,1170816,158716928
1d-r4-B,4,1d,B,True,0.0,1000,1000000,4.426140785217285,4.426140785217285,0.2471742480993271,0.0001623869018208,1.548246145248413,25.68196539699716,38937.82989509534,25.68196539699716,9.008,0.7506666666666666,4.092340136567752,59.87985491191327,49152,1170816,158716928
1d-r4-B,4,1d,B,True,0.0,2000,2000000,3.9575159549713135,3.9575159549713135,0.2203259915113449,0.0,1.6035579442977903,50.76699321899992,39395.67567794197,25.38349660949996,8.9765,0.7480416666666666,3.927547658483187,50.78228932605748,49152,1170816,158716928
1d-r4-F,4,1d,F,False,0.1,250,250000,5.039731025695801,5.031937599182129,0.0779358297586441,0.0002954100398908,1.1906505823135376,8.196765303000348,30499.836308414237,32.78706121200139,12.0,1.0,5.062825719515483,158.03645266959305,49152,1170816,159044608
1d-r4-F,4,1d,F,False,0.1,500,500000,4.422373294830322,4.414151668548584,0.0822155028581619,0.0002683710764094,1.4329960346221924,15.792829218001316,31659.938387105423,31.585658436002632,12.0,1.0,4.417432546615601,82.88321316277867,49152,1170816,159044608
1d-r4-F,4,1d,F,False,0.1,1000,1000000,4.401889801025391,4.393503189086914,0.0838667601346969,0.0001623869018208,1.835586428642273,30.942140223005254,32318.38498542216,30.942140223005254,12.0,1.0,4.030186732610066,56.27141797487355,49152,1170816,159044608
1d-r4-F,4,1d,F,False,0.1,2000,2000000,3.904595851898194,3.8960230350494394,0.0857284218072891,0.0,1.831064224243164,62.07669173000363,32218.21176777268,31.038345865001816,12.0,1.0,3.870212932427725,47.95259565641462,49152,1170816,159044608
1d-r4-H,4,1d,H,True,0.1,250,250000,5.069470882415772,5.054303169250488,0.151677131652832,0.0002954100398908,1.0133858919143677,6.8073357370008125,36725.08741432304,27.22934294800325,9.092,0.7576666666666667,5.0901961624622345,162.42171997323334,49152,1170816,158716928
