replicate,arm,family,parent,newborn_cells,newborn_count,edges,base_skill_nll,donor_skill_nll,skill_improvement,ablated_skill_nll,tissue_causal_fraction,recipient_skill_nll,transplant_recovery,base_language_nll,donor_language_nll,language_retention_ratio,ablated_language_nll,recipient_language_nll,base_memory_drift,elapsed_seconds,autonomous_structure_updates
1,three-cell-chain,LOCAL_RULE,2,"[7, 8, 9]",3,20,8.333607401166644,7.337901932852609,0.9957054683140348,8.333607401166644,1.0,7.337901932852609,1.0,4.582965970039368,6.442531883716583,1.405755994225993,4.582965970039368,6.442531883716583,0.0,6.826582645000144,0
2,one-cell,REVERSE_INC,2,[7],1,16,8.174093110220772,7.639211450304304,0.5348816599164685,8.174093110220772,1.0,7.639211450304304,1.0,4.652176767587662,6.214298248291016,1.3357829159860957,4.652176767587662,6.214298248291016,0.0,6.722386671000095,0
2,one-cell,MOD_ADD,2,[7],1,16,8.236103875296456,7.671795300074986,0.56430857522147,8.236103875296456,1.0,7.671795300074986,1.0,4.652176767587662,6.216739863157272,1.336307748766154,4.652176767587662,6.216739863157272,0.0,6.566076977999728,0
2,one-cell,PARITY,2,[7],1,16,11.566283770969935,11.454524448939733,0.1117593220302026,11.566283770969935,1.0,11.454524448939733,1.0,4.652176767587662,4.695615202188492,1.0093372278765225,4.652176767587662,4.695615202188492,0.0,6.626120883000112,0
2,one-cell,LOOKUP,2,[7],1,16,8.261720725468226,6.045239721025739,2.216481004442487,8.261720725468226,1.0,6.045239721025739,1.0,4.652176767587662,6.424205362796784,1.3809031091757051,4.652176767587662,6.424205362796784,0.0,6.587385746000109,0
2,one-cell,DELAY_COPY,2,[7],1,16,8.179946626935687,7.613946165357317,0.5660004615783691,8.179946626935687,1.0,7.613946165357317,1.0,4.652176767587662,6.232396841049194,1.339673265313377,4.652176767587662,6.232396841049194,0.0,6.635255234999931,0
2,one-cell,LOCAL_RULE,2,[7],1,16,8.247496673039027,7.6671567644391745,0.5803399085998526,8.247496673039027,1.0,7.6671567644391745,1.0,4.652176767587662,6.243499308824539,1.3420597756138233,4.652176767587662,6.243499308824539,0.0,6.60175818100015,0
2,three-cell-chain,REVERSE_INC,2,"[7, 8, 9]",3,20,8.174093110220772,7.640985216413226,0.5331078938075464,8.174093110220772,1.0,7.640985216413226,1.0,4.652176767587662,6.191474914550781,1.3308769687531257,4.652176767587662,6.191474914550781,0.0,6.856098677999853,0
2,three-cell-chain,MOD_ADD,2,"[7, 8, 9]",3,20,8.236103875296456,7.671521254948208,0.564582620348248,8.236103875296456,1.0,7.671521254948208,1.0,4.652176767587662,6.171530604362488,1.3265898766702864,4.652176767587662,6.171530604362488,0.0,6.835856751999927,0
2,three-cell-chain,PARITY,2,"[7, 8, 9]",3,20,11.566283770969935,6.207856382642474,5.358427388327462,11.566283770969935,1.0,6.207856382642474,1.0,4.652176767587662,6.629968345165253,1.4251325081534154,4.652176767587662,6.629968345165253,0.0,6.882946097000058,0
2,three-cell-chain,LOOKUP,2,"[7, 8, 9]",3,20,8.261720725468226,6.048504080091204,2.213216645377022,8.261720725468226,1.0,6.048504080091204,1.0,4.652176767587662,6.412727773189545,1.3784359652599354,4.652176767587662,6.412727773189545,0.0,6.872318630999871,0
2,three-cell-chain,DELAY_COPY,2,"[7, 8, 9]",3,20,8.179946626935687,7.6124662671770364,0.5674803597586502,8.179946626935687,1.0,7.6124662671770364,1.0,4.652176767587662,6.183014780282974,1.329058436334764,4.652176767587662,6.183014780282974,0.0,6.8944710140003735,0
2,three-cell-chain,LOCAL_RULE,2,"[7, 8, 9]",3,20,8.247496673039027,7.661127771650042,0.586368901388985,8.247496673039027,1.0,7.661127771650042,1.0,4.652176767587662,6.164496958255768,1.325077972360088,4.652176767587662,6.164496958255768,0.0,6.897742041000129,0
