replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,geometry-shadow,50,STORY,STORY,0,0.4922460913658142,0
0,A_STORY_NULL,incumbent,51,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,51,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,51,STORY,STORY,1,0.2785105109214782,0
0,A_STORY_NULL,incumbent,52,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,52,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,52,STORY,STORY,0,0.1082191467285156,0
0,A_STORY_NULL,incumbent,53,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,53,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,53,STORY,STORY,0,0.7442973256111145,0
0,A_STORY_NULL,incumbent,54,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,54,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,54,STORY,STORY,0,0.1895228624343872,0
0,A_STORY_NULL,incumbent,55,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,55,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,55,STORY,STORY,0,0.3028870820999145,0
0,A_STORY_NULL,incumbent,56,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,56,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,56,STORY,STORY,1,0.7076833248138428,0
0,A_STORY_NULL,incumbent,57,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,57,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,57,STORY,STORY,0,0.4836049079895019,0
0,A_STORY_NULL,incumbent,58,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,58,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,58,STORY,STORY,0,0.0737904906272888,0
0,A_STORY_NULL,incumbent,59,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,59,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,59,STORY,STORY,0,0.5718339681625366,0
0,A_STORY_NULL,incumbent,60,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,60,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,60,STORY,STORY,0,0.4905402660369873,0
0,A_STORY_NULL,incumbent,61,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,61,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,61,STORY,STORY,0,0.1205407381057739,0
0,A_STORY_NULL,incumbent,62,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,62,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,62,STORY,STORY,0,0.6556863188743591,0
0,A_STORY_NULL,incumbent,63,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,63,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,63,STORY,STORY,1,0.8771280646324158,0
0,A_STORY_NULL,incumbent,64,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,64,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,64,STORY,STORY,0,0.4308435916900635,0
0,A_STORY_NULL,incumbent,65,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,65,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,65,STORY,STORY,0,0.6567899584770203,0
0,A_STORY_NULL,incumbent,66,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,66,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,66,STORY,STORY,0,0.1199294328689575,0
0,A_STORY_NULL,incumbent,67,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,67,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,67,STORY,STORY,0,0.1168246269226074,0
0,A_STORY_NULL,incumbent,68,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,68,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,68,STORY,STORY,0,0.3388144373893738,0
0,A_STORY_NULL,incumbent,69,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,69,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,69,STORY,STORY,0,0.6068629622459412,0
0,A_STORY_NULL,incumbent,70,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,70,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,70,STORY,STORY,0,0.4886174201965332,0
0,A_STORY_NULL,incumbent,71,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,71,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,71,STORY,STORY,0,0.2393131852149963,0
0,A_STORY_NULL,incumbent,72,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,72,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,72,STORY,STORY,0,0.6135894656181335,0
0,A_STORY_NULL,incumbent,73,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,73,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,73,STORY,STORY,0,0.8637405037879944,0
0,A_STORY_NULL,incumbent,74,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,74,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,74,STORY,STORY,0,0.811093807220459,0
0,A_STORY_NULL,incumbent,75,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,75,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,75,STORY,STORY,1,0.544859766960144,0
0,A_STORY_NULL,incumbent,76,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,76,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,76,STORY,STORY,0,0.0123535394668579,0
0,A_STORY_NULL,incumbent,77,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,77,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,77,STORY,STORY,0,0.6750463247299194,0
0,A_STORY_NULL,incumbent,78,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,78,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,78,STORY,STORY,0,0.7640588879585266,0
0,A_STORY_NULL,incumbent,79,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,79,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,79,STORY,STORY,0,0.6163212060928345,0
0,A_STORY_NULL,incumbent,80,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,80,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,80,STORY,STORY,0,0.7843557596206665,0
