replicate,stage,arm,window,step_end,prequential_nll
2,C_DUPLICATE_ARITHMETIC,incumbent,0,64,6.233300879597664
2,C_DUPLICATE_ARITHMETIC,capacity-shadow,0,64,6.232593387365341
2,C_DUPLICATE_ARITHMETIC,geometry-shadow,0,64,6.233485214412212
2,C_DUPLICATE_ARITHMETIC,incumbent,1,128,6.061310239136219
2,C_DUPLICATE_ARITHMETIC,capacity-shadow,1,128,6.061452858150005
2,C_DUPLICATE_ARITHMETIC,geometry-shadow,1,128,6.047313898801804
2,C_DUPLICATE_ARITHMETIC,incumbent,2,192,6.06660695374012
2,C_DUPLICATE_ARITHMETIC,capacity-shadow,2,192,6.066634654998779
2,C_DUPLICATE_ARITHMETIC,geometry-shadow,2,192,6.081097207963467
2,C_DUPLICATE_ARITHMETIC,incumbent,3,256,6.095315843820572
2,C_DUPLICATE_ARITHMETIC,capacity-shadow,3,256,6.095358423888683
2,C_DUPLICATE_ARITHMETIC,geometry-shadow,3,256,6.095483392477036
2,D_WEAK_TRANSFORM,incumbent,0,64,6.239106796681881
2,D_WEAK_TRANSFORM,capacity-shadow,0,64,6.239208459854126
2,D_WEAK_TRANSFORM,geometry-shadow,0,64,6.2391185984015465
2,D_WEAK_TRANSFORM,incumbent,1,128,6.241091959178448
2,D_WEAK_TRANSFORM,capacity-shadow,1,128,6.241144046187401
2,D_WEAK_TRANSFORM,geometry-shadow,1,128,6.240915812551975
2,D_WEAK_TRANSFORM,incumbent,2,192,6.103829383850098
2,D_WEAK_TRANSFORM,capacity-shadow,2,192,6.103835090994835
2,D_WEAK_TRANSFORM,geometry-shadow,2,192,6.1037507802248
2,D_WEAK_TRANSFORM,incumbent,3,256,6.08462468534708
2,D_WEAK_TRANSFORM,capacity-shadow,3,256,6.084737382829189
2,D_WEAK_TRANSFORM,geometry-shadow,3,256,6.071266770362854
2,E_TRANSFORM_BIRTH,incumbent,0,64,6.373436369001865
2,E_TRANSFORM_BIRTH,capacity-shadow,0,64,6.373419396579266
