phase,step,cell,alive,activity,memory_norm,in_degree,out_degree,parent,birth_step,replicate,variant
language,1000,2,1,0.0867510586977005,0.1815460473299026,2,2,2,0,1,F
language,1000,3,1,0.1023754924535751,0.1764645129442215,1,1,3,0,1,F
language,100,0,1,2.945533275604248,0.1880659908056259,1,1,0,0,1,G
language,100,1,1,0.0114385392516851,0.2037338763475418,2,2,1,0,1,G
language,100,2,1,0.0175658725202083,0.190109983086586,2,2,2,0,1,G
language,100,3,1,0.0254623237997293,0.1947346776723861,1,1,3,0,1,G
language,250,0,1,2.9255828857421875,0.1789265424013137,1,1,0,0,1,G
language,250,1,1,0.0404048338532447,0.1939253360033035,2,2,1,0,1,G
language,250,2,1,0.0176481828093528,0.1853131800889969,2,2,2,0,1,G
language,250,3,1,0.0163642168045043,0.1754883825778961,1,1,3,0,1,G
language,500,0,1,2.909987688064575,0.1749370694160461,2,1,0,0,1,G
language,500,1,1,0.0293363370001316,0.1876253634691238,2,2,1,0,1,G
language,500,2,1,0.0296475887298584,0.1827320158481598,2,2,2,0,1,G
language,500,3,1,0.0310284458100795,0.1755144298076629,1,2,3,0,1,G
language,750,0,1,2.5149824619293213,0.1741881817579269,2,1,0,0,1,G
language,750,1,1,0.1778153330087661,0.1909560859203338,3,3,1,0,1,G
language,750,2,1,0.0205427557229995,0.1806660592555999,2,2,2,0,1,G
language,750,3,1,0.1015772521495819,0.1706964373588562,1,2,3,0,1,G
language,750,4,1,0.1850821375846862,0.1895854473114013,1,1,1,600,1,G
language,1000,0,1,2.429775714874268,0.1740830242633819,3,1,0,0,1,G
language,1000,1,1,0.0465091355144977,0.1894371956586837,5,5,1,0,1,G
language,1000,2,1,0.008279537782073,0.1801191568374633,2,3,2,0,1,G
language,1000,3,1,0.1009602546691894,0.1707748472690582,1,2,3,0,1,G
language,1000,4,1,0.0888552442193031,0.1888902485370636,1,1,1,600,1,G
language,1000,5,1,0.1084029525518417,0.1941815316677093,1,1,1,800,1,G
language,1000,6,1,0.2172173112630844,0.1880917847156524,1,1,1,1000,1,G
language,100,0,1,2.95632553100586,0.1977303922176361,1,1,0,0,2,F
language,100,1,1,0.0187824927270412,0.2141870111227035,2,2,1,0,2,F
language,100,2,1,0.0095404740422964,0.1765842288732528,2,2,2,0,2,F
language,100,3,1,0.0153515869751572,0.2117432802915573,1,1,3,0,2,F
language,250,0,1,2.913026571273804,0.1758656501770019,1,1,0,0,2,F
language,250,1,1,0.0422177091240882,0.2081518322229385,2,2,1,0,2,F
language,250,2,1,0.0241568721830844,0.1630657315254211,2,2,2,0,2,F
language,250,3,1,0.0205986928194761,0.2014445215463638,1,1,3,0,2,F
language,500,0,1,2.947439670562744,0.171690434217453,1,1,0,0,2,F
language,500,1,1,0.0319305658340454,0.2019330263137817,2,2,1,0,2,F
language,500,2,1,0.0099859582260251,0.1643449813127517,2,2,2,0,2,F
language,500,3,1,0.0106438267976045,0.193280354142189,1,1,3,0,2,F
language,750,0,1,2.8499178886413574,0.1704014539718628,1,1,0,0,2,F
language,750,1,1,0.0330083221197128,0.2005354762077331,2,2,1,0,2,F
language,750,2,1,0.0550928115844726,0.1677672863006591,2,2,2,0,2,F
language,750,3,1,0.0619810223579406,0.1971290409564972,1,1,3,0,2,F
language,1000,0,1,2.80381178855896,0.1703115254640579,1,1,0,0,2,F
language,1000,1,1,0.0579142346978187,0.2004733085632324,2,2,1,0,2,F
language,1000,2,1,0.0753704160451889,0.1679788082838058,2,2,2,0,2,F
language,1000,3,1,0.0629035383462905,0.1970342248678207,1,1,3,0,2,F
language,100,0,1,2.95632553100586,0.1977303922176361,1,1,0,0,2,G
language,100,1,1,0.0187824927270412,0.2141870111227035,2,2,1,0,2,G
language,100,2,1,0.0095404740422964,0.1765842288732528,2,2,2,0,2,G
language,100,3,1,0.0153515869751572,0.2117432802915573,1,1,3,0,2,G
language,250,0,1,2.913026571273804,0.1758656501770019,1,1,0,0,2,G
language,250,1,1,0.0422177091240882,0.2081518322229385,2,2,1,0,2,G
language,250,2,1,0.0241568721830844,0.1630657315254211,2,2,2,0,2,G
language,250,3,1,0.0205986928194761,0.2014445215463638,1,1,3,0,2,G
language,500,0,1,2.9281668663024902,0.1712851226329803,3,1,0,0,2,G
language,500,1,1,0.0294134132564067,0.2043966650962829,2,2,1,0,2,G
language,500,2,1,0.0188134983181953,0.16256844997406,2,3,2,0,2,G
language,500,3,1,0.0236060991883277,0.1887004524469375,1,2,3,0,2,G
language,750,0,1,2.8301656246185303,0.1698753088712692,3,1,0,0,2,G
language,750,1,1,0.0398696325719356,0.2038523256778717,3,3,1,0,2,G
language,750,2,1,0.0113354353234171,0.1602023988962173,2,3,2,0,2,G
language,750,3,1,0.041256345808506,0.1886119991540908,1,2,3,0,2,G
language,750,4,1,0.0773729532957077,0.2066468000411987,1,1,1,600,2,G
language,1000,0,1,2.623044490814209,0.1698304265737533,3,1,0,0,2,G
language,1000,1,1,0.0618175119161605,0.206504225730896,5,5,1,0,2,G
language,1000,2,1,0.0049391137436032,0.1598703861236572,2,3,2,0,2,G
language,1000,3,1,0.0275603123009204,0.1887136101722717,1,2,3,0,2,G
language,1000,4,1,0.0676298961043357,0.2067759782075882,1,1,1,600,2,G
language,1000,5,1,0.0613822042942047,0.2039577513933181,1,1,1,800,2,G
language,1000,6,1,0.1536265760660171,0.2075903713703155,1,1,1,1000,2,G
