run,task,receiver,source,mean_weight
r0-D,REVERSE_SWAP,1,0,0.0900323018431663
r0-D,REVERSE_SWAP,1,1,0.0
r0-D,REVERSE_SWAP,1,2,0.0702423453330993
r0-D,REVERSE_SWAP,1,3,0.0170823652297258
r0-D,REVERSE_SWAP,1,4,0.0200092978775501
r0-D,REVERSE_SWAP,1,5,0.0179270599037408
r0-D,REVERSE_SWAP,1,6,0.0167429726570844
r0-D,REVERSE_SWAP,1,7,0.0179636776447296
r0-D,REVERSE_SWAP,2,0,0.02359514310956
r0-D,REVERSE_SWAP,2,1,0.0699075832962989
r0-D,REVERSE_SWAP,2,2,0.0
r0-D,REVERSE_SWAP,2,3,0.0785803347826004
r0-D,REVERSE_SWAP,2,4,0.0177620910108089
r0-D,REVERSE_SWAP,2,5,0.0183157101273536
r0-D,REVERSE_SWAP,2,6,0.0226924587041139
r0-D,REVERSE_SWAP,2,7,0.0191467031836509
r0-D,REVERSE_SWAP,3,0,0.0223796647042036
r0-D,REVERSE_SWAP,3,1,0.016757508739829
r0-D,REVERSE_SWAP,3,2,0.0774241462349891
r0-D,REVERSE_SWAP,3,3,0.0
r0-D,REVERSE_SWAP,3,4,0.0777099356055259
r0-D,REVERSE_SWAP,3,5,0.019830210134387
r0-D,REVERSE_SWAP,3,6,0.0179494395852088
r0-D,REVERSE_SWAP,3,7,0.0179490875452756
r0-D,REVERSE_SWAP,4,0,0.0237790793180465
r0-D,REVERSE_SWAP,4,1,0.0190681740641593
r0-D,REVERSE_SWAP,4,2,0.0170346517115831
r0-D,REVERSE_SWAP,4,3,0.075608417391777
r0-D,REVERSE_SWAP,4,4,0.0
r0-D,REVERSE_SWAP,4,5,0.0763260722160339
r0-D,REVERSE_SWAP,4,6,0.0213229600340127
r0-D,REVERSE_SWAP,4,7,0.0168606508523225
r0-D,REVERSE_SWAP,5,0,0.0230586789548397
r0-D,REVERSE_SWAP,5,1,0.0170126743614673
r0-D,REVERSE_SWAP,5,2,0.017464755102992
r0-D,REVERSE_SWAP,5,3,0.0191910043358802
r0-D,REVERSE_SWAP,5,4,0.0758990719914436
r0-D,REVERSE_SWAP,5,5,0.0
r0-D,REVERSE_SWAP,5,6,0.0786159485578537
r0-D,REVERSE_SWAP,5,7,0.0187578797340393
r0-D,REVERSE_SWAP,6,0,0.0234435554593801
r0-D,REVERSE_SWAP,6,1,0.0156725160777568
r0-D,REVERSE_SWAP,6,2,0.0213345773518085
r0-D,REVERSE_SWAP,6,3,0.0171164236962795
r0-D,REVERSE_SWAP,6,4,0.020945455878973
r0-D,REVERSE_SWAP,6,5,0.0775433257222175
r0-D,REVERSE_SWAP,6,6,0.0
r0-D,REVERSE_SWAP,6,7,0.0739441663026809
r0-D,REVERSE_SWAP,7,0,0.0380945913493633
r0-D,REVERSE_SWAP,7,1,0.0221747923642396
r0-D,REVERSE_SWAP,7,2,0.0237336475402116
r0-D,REVERSE_SWAP,7,3,0.0225307196378707
r0-D,REVERSE_SWAP,7,4,0.0217533353716135
r0-D,REVERSE_SWAP,7,5,0.0243761055171489
r0-D,REVERSE_SWAP,7,6,0.0973367989063263
r0-D,REVERSE_SWAP,7,7,0.0
r0-D,ROTATE_INC,0,0,0.0
r0-D,ROTATE_INC,0,1,0.0987135097384452
r0-D,ROTATE_INC,0,2,0.0227151345461606
r0-D,ROTATE_INC,0,3,0.0253934636712074
r0-D,ROTATE_INC,0,4,0.0264215376228094
r0-D,ROTATE_INC,0,5,0.0247959811240434
r0-D,ROTATE_INC,0,6,0.0222624689340591
r0-D,ROTATE_INC,0,7,0.029697922989726
r0-D,ROTATE_INC,1,0,0.0903881043195724
r0-D,ROTATE_INC,1,1,0.0
r0-D,ROTATE_INC,1,2,0.0699622705578804
r0-D,ROTATE_INC,1,3,0.017274372279644
r0-D,ROTATE_INC,1,4,0.0195662956684827
r0-D,ROTATE_INC,1,5,0.0180423036217689
r0-D,ROTATE_INC,1,6,0.0167817678302526
r0-D,ROTATE_INC,1,7,0.0179848689585924
r0-D,ROTATE_INC,2,0,0.0209163781255483
r0-D,ROTATE_INC,2,1,0.0703443214297294
r0-D,ROTATE_INC,2,2,0.0
r0-D,ROTATE_INC,2,3,0.0811106264591217
r0-D,ROTATE_INC,2,4,0.0179229546338319
r0-D,ROTATE_INC,2,5,0.0183333326131105
r0-D,ROTATE_INC,2,6,0.0223008561879396
r0-D,ROTATE_INC,2,7,0.0190715119242668
r0-D,ROTATE_INC,3,0,0.0225142575800418
r0-D,ROTATE_INC,3,1,0.0166791602969169
r0-D,ROTATE_INC,3,2,0.0778687968850135
r0-D,ROTATE_INC,3,3,0.0
r0-D,ROTATE_INC,3,4,0.077422596514225
r0-D,ROTATE_INC,3,5,0.0197714883834123
r0-D,ROTATE_INC,3,6,0.0177366361021995
r0-D,ROTATE_INC,3,7,0.0180070772767066
r0-D,ROTATE_INC,4,0,0.0231595113873481
r0-D,ROTATE_INC,4,1,0.0187097322195768
r0-D,ROTATE_INC,4,2,0.0170621816068887
r0-D,ROTATE_INC,4,3,0.0767436474561691
r0-D,ROTATE_INC,4,4,0.0
r0-D,ROTATE_INC,4,5,0.0765831395983696
r0-D,ROTATE_INC,4,6,0.0206651762127876
r0-D,ROTATE_INC,4,7,0.0170766003429889
r0-D,ROTATE_INC,5,0,0.0218409579247236
r0-D,ROTATE_INC,5,1,0.0173357520252466
r0-D,ROTATE_INC,5,2,0.0175233017653226
r0-D,ROTATE_INC,5,3,0.0196867473423481
r0-D,ROTATE_INC,5,4,0.0769038200378418
r0-D,ROTATE_INC,5,5,0.0
r0-D,ROTATE_INC,5,6,0.0775275528430938
r0-D,ROTATE_INC,5,7,0.0191818457096815
r0-D,ROTATE_INC,6,0,0.0198431853204965
r0-D,ROTATE_INC,6,1,0.016312900930643
r0-D,ROTATE_INC,6,2,0.0215506143867969
r0-D,ROTATE_INC,6,3,0.0178447309881448
r0-D,ROTATE_INC,6,4,0.0210111401975154
r0-D,ROTATE_INC,6,5,0.0784134045243263
r0-D,ROTATE_INC,6,6,0.0
r0-D,ROTATE_INC,6,7,0.0750240236520767
r0-D,ROTATE_INC,7,0,0.0343887731432914
r0-D,ROTATE_INC,7,1,0.0227476712316274
r0-D,ROTATE_INC,7,2,0.0239935927093029
r0-D,ROTATE_INC,7,3,0.0235549062490463
r0-D,ROTATE_INC,7,4,0.0225389786064624
r0-D,ROTATE_INC,7,5,0.0252394340932369
r0-D,ROTATE_INC,7,6,0.0975366309285163
r0-D,ROTATE_INC,7,7,0.0
r0-D,ROTATE_SWAP,0,0,0.0
r0-D,ROTATE_SWAP,0,1,0.0931673720479011
r0-D,ROTATE_SWAP,0,2,0.0246581863611936
r0-D,ROTATE_SWAP,0,3,0.0234878156334161
r0-D,ROTATE_SWAP,0,4,0.0257301852107048
r0-D,ROTATE_SWAP,0,5,0.0248328279703855
r0-D,ROTATE_SWAP,0,6,0.0260618571192026
r0-D,ROTATE_SWAP,0,7,0.0320617444813251
r0-D,ROTATE_SWAP,1,0,0.0895927548408508
r0-D,ROTATE_SWAP,1,1,0.0
r0-D,ROTATE_SWAP,1,2,0.0704860240221023
r0-D,ROTATE_SWAP,1,3,0.0171334333717823
r0-D,ROTATE_SWAP,1,4,0.0199971497058868
r0-D,ROTATE_SWAP,1,5,0.0179805345833301
r0-D,ROTATE_SWAP,1,6,0.0167906768620014
r0-D,ROTATE_SWAP,1,7,0.0180194023996591
r0-D,ROTATE_SWAP,2,0,0.0235685463994741
r0-D,ROTATE_SWAP,2,1,0.0699481666088104
r0-D,ROTATE_SWAP,2,2,0.0
r0-D,ROTATE_SWAP,2,3,0.0785431787371635
r0-D,ROTATE_SWAP,2,4,0.0177514180541038
r0-D,ROTATE_SWAP,2,5,0.0183222610503435
r0-D,ROTATE_SWAP,2,6,0.0226987861096858
r0-D,ROTATE_SWAP,2,7,0.0191676449030637
r0-D,ROTATE_SWAP,3,0,0.0222493074834346
r0-D,ROTATE_SWAP,3,1,0.0167805198580026
r0-D,ROTATE_SWAP,3,2,0.0774849727749824
r0-D,ROTATE_SWAP,3,3,0.0
r0-D,ROTATE_SWAP,3,4,0.0776986479759216
r0-D,ROTATE_SWAP,3,5,0.0198450423777103
r0-D,ROTATE_SWAP,3,6,0.0179678797721862
r0-D,ROTATE_SWAP,3,7,0.0179736260324716
r0-D,ROTATE_SWAP,4,0,0.023676361888647
r0-D,ROTATE_SWAP,4,1,0.0190358683466911
r0-D,ROTATE_SWAP,4,2,0.0170515663921833
r0-D,ROTATE_SWAP,4,3,0.0756249502301216
r0-D,ROTATE_SWAP,4,4,0.0
r0-D,ROTATE_SWAP,4,5,0.0764055028557777
r0-D,ROTATE_SWAP,4,6,0.0213264320045709
r0-D,ROTATE_SWAP,4,7,0.0168793201446533
r0-D,ROTATE_SWAP,5,0,0.0227305889129638
