run,row,task,baseline_nll,ablated_nll,delta_nll
r1-D,1,SWAP,1.0603532675334386,1.6639582783835274,0.6036050108500888
r1-D,1,REVERSE_ROTATE,1.2778013208934238,1.753471108845302,0.4756697879518783
r1-D,1,REVERSE_INC,1.1638117946897235,1.6997841167449952,0.5359723220552717
r1-D,1,REVERSE_SWAP,1.2490677513395037,1.7158364105224608,0.4667686591829572
r1-D,1,ROTATE_INC,1.0503609071459088,1.6722646290915353,0.6219037219456265
r1-D,1,ROTATE_SWAP,1.199666086605617,1.6721559906005858,0.4724899039949688
r1-D,1,INC_SWAP,1.0498719937460763,1.719262752532959,0.6693907587868826
r1-D,2,REVERSE,1.1078253167016163,1.186767544405801,0.0789422277041844
r1-D,2,ROTATE,0.9551480054855348,1.0367425870895386,0.0815945816040039
r1-D,2,INC,1.420607647895813,1.4614052356992449,0.0407975878034319
r1-D,2,SWAP,1.0603532675334386,1.1240395634514946,0.0636862959180559
r1-D,2,REVERSE_ROTATE,1.2778013208934238,1.3587494904654367,0.0809481695720129
r1-D,2,REVERSE_INC,1.1638117946897235,1.2103707095554896,0.0465589148657661
r1-D,2,REVERSE_SWAP,1.2490677513395037,1.314943928718567,0.0658761773790632
r1-D,2,ROTATE_INC,1.0503609071459088,1.118488667351859,0.0681277602059502
r1-D,2,ROTATE_SWAP,1.199666086605617,1.2828014918736048,0.0831354052679878
r1-D,2,INC_SWAP,1.0498719937460763,1.1299229042870658,0.0800509105409894
r1-D,3,REVERSE,1.1078253167016163,1.1640866562298366,0.0562613395282201
r1-D,3,ROTATE,0.9551480054855348,1.0138411562783378,0.0586931507928031
r1-D,3,INC,1.420607647895813,1.4486268867765155,0.0280192388807025
r1-D,3,SWAP,1.0603532675334386,1.1125693811689104,0.0522161136354717
r1-D,3,REVERSE_ROTATE,1.2778013208934238,1.3441963175364904,0.0663949966430665
r1-D,3,REVERSE_INC,1.1638117946897235,1.1908249609810966,0.027013166291373
r1-D,3,REVERSE_SWAP,1.2490677513395037,1.311139715739659,0.0620719644001552
r1-D,3,ROTATE_INC,1.0503609071459088,1.089664534841265,0.0393036276953562
r1-D,3,ROTATE_SWAP,1.199666086605617,1.2616277088437762,0.0619616222381591
r1-D,3,INC_SWAP,1.0498719937460763,1.0878602477482386,0.0379882540021623
r1-D,4,REVERSE,1.1078253167016163,1.1738976400239127,0.0660723233222961
r1-D,4,ROTATE,0.9551480054855348,1.0339030027389526,0.0787549972534179
r1-D,4,INC,1.420607647895813,1.4272348172324043,0.0066271693365915
r1-D,4,SWAP,1.0603532675334386,1.120200480052403,0.0598472125189644
r1-D,4,REVERSE_ROTATE,1.2778013208934238,1.3414699343272618,0.063668613433838
r1-D,4,REVERSE_INC,1.1638117946897235,1.1839700719288415,0.0201582772391182
r1-D,4,REVERSE_SWAP,1.2490677513395037,1.3057634380885532,0.0566956867490495
r1-D,4,ROTATE_INC,1.0503609071459088,1.0809409182412284,0.0305800110953196
r1-D,4,ROTATE_SWAP,1.199666086605617,1.2625142077037266,0.0628481210981095
r1-D,4,INC_SWAP,1.0498719937460763,1.08485280922481,0.0349808154787336
r1-D,5,REVERSE,1.1078253167016163,1.152146898678371,0.0443215819767544
r1-D,5,ROTATE,0.9551480054855348,1.0020046172823225,0.0468566117967877
